seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1260310	1260414	105	*	X00073	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00073	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284546	102	*	X00075	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285463	120	*	X00076	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00080	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00081	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1370992	1371096	105	*	X00084	64856	1370903	1378262	7360	+	0	inside	88	VWA1
chr1	1405983	1406102	120	*	X00087	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00088	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00089	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1475224	1475553	330	*	X00092	339453	1470158	1475740	5583	-	0	inside	186	TMEM240
chr1	1475569	1475838	270	*	X00093	339453	1470158	1475740	5583	-	0	overlapStart	0	TMEM240
chr1	1475869	1476208	340	*	X00094	339453	1470158	1475740	5583	-	128	upstream	128	TMEM240
chr1	1535597	1535729	133	*	X00095	643988	1533388	1535476	2089	-	120	upstream	120	FNDC10
chr1	1822775	1823044	270	*	X00105	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1823165	1823299	135	*	X00106	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850864	150	*	X00109	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1850880	1850931	52	*	X00110	339456	1849029	1850740	1712	-	139	upstream	139	TMEM52
chr1	1851058	1851119	62	*	X00111	339456	1849029	1850740	1712	-	317	upstream	317	TMEM52
chr1	1935072	1935176	105	*	X00112	85452	1884752	1935276	50525	-	0	inside	99	CFAP74
chr1	1950920	1951009	90	*	X00113	2563	1950768	1962192	11425	+	0	inside	151	GABRD
chr1	1981357	1981416	60	*	X00114	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981756	135	*	X00115	5590	1981909	2116834	134926	+	152	upstream	152	PRKCZ
chr1	1982182	1982331	150	*	X00116	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2323483	2323752	270	*	X00136	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00136	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00138	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344174	2344263	90	*	X00139	5192	2336241	2344010	7770	-	163	upstream	163	PEX10
chr1	2344909	2345028	120	*	X00140	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457713	2457877	165	*	X00143	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2487318	2487482	165	*	X00149	8764	2487805	2495267	7463	+	322	upstream	322	TNFRSF14
chr1	2517495	2517614	120	*	X00150	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518379	270	*	X00151	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	3371070	3371189	120	*	X00156	27237	3371147	3397677	26531	+	0	overlapStart	0	ARHGEF16
chr1	3527983	3528174	192	*	X00171	1953	3404506	3528059	123554	-	0	overlapStart	0	MEGF6
chr1	3528304	3528357	54	*	X00172	1953	3404506	3528059	123554	-	244	upstream	244	MEGF6
chr1	3541703	3542003	301	*	X00173	127262	3541556	3546694	5139	+	0	inside	146	TPRG1L
chr1	3663507	3663656	150	*	X00174	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3663987	3664121	135	*	X00175	57212	3652548	3663937	11390	-	49	upstream	49	TP73-AS1
chr1	3688852	3688941	90	*	X00176	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689110	161	*	X00177	388588	3689334	3692546	3213	+	223	upstream	223	SMIM1
chr1	3689212	3689234	23	*	X00178	388588	3689334	3692546	3213	+	99	upstream	99	SMIM1
chr1	3713211	3713330	120	*	X00179	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3774387	3774566	180	*	X00180	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X00181	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00181	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X00182	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
chr1	3816823	3816882	60	*	X00182	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X00183	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X00184	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6051104	6051223	120	*	X00185	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051809	6052158	350	*	X00186	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X00187	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X00188	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X00189	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054231	73	*	X00190	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6240144	6240263	120	*	X00195	26038	6161847	6240194	78348	-	0	overlapStart	0	CHD5
chr1	6240879	6240968	90	*	X00196	26038	6161847	6240194	78348	-	684	upstream	684	CHD5
chr1	6302400	6302577	178	*	X00199	390992	6304252	6305638	1387	+	1674	upstream	1674	HES3
chr1	6321163	6321237	75	*	X00204	387509	6307406	6321035	13630	-	127	upstream	127	GPR153
chr1	6321673	6321805	133	*	X00205	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453436	6453586	151	*	X00207	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X00208	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6483818	6483982	165	*	X00211	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484068	2	*	X00212	83715	6484848	6521004	36157	+	779	upstream	779	ESPN
chr1	6640183	6640317	135	*	X00224	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00225	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6662957	6663076	120	*	X00226	9903	6650779	6662929	12151	-	27	upstream	27	KLHL21
chr1	6673307	6673576	270	*	X00227	148479	6673756	6684093	10338	+	179	upstream	179	PHF13
chr1	6673704	6673831	128	*	X00228	148479	6673756	6684093	10338	+	0	overlapStart	0	PHF13
chr1	6673963	6674802	840	*	X00229	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X00233	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845471	6845598	128	*	X00234	23261	6845384	7829766	984383	+	0	inside	86	CAMTA1
chr1	6845629	6845780	152	*	X00235	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00247	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831316	135	*	X00248	9341	7831329	7841492	10164	+	12	upstream	12	VAMP3
chr1	7843482	7843691	210	*	X00249	8863	7844380	7905237	60858	+	688	upstream	688	PER3
chr1	7843776	7843985	210	*	X00250	8863	7844380	7905237	60858	+	394	upstream	394	PER3
chr1	8085996	8086220	225	*	X00253	54206	8071779	8086393	14615	-	0	inside	172	ERRFI1
chr1	8877300	8877419	120	*	X00263	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00264	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189201	9189321	121	*	X00268	80045	9164476	9189229	24754	-	0	overlapStart	0	GPR157
chr1	9189440	9189755	316	*	X00269	80045	9164476	9189229	24754	-	210	upstream	210	GPR157
chr1	9353157	9353336	180	*	X00274	80176	9352941	9429590	76650	+	0	inside	215	SPSB1
chr1	9648594	9648670	77	*	X00285	199953	9648932	9674935	26004	+	261	upstream	261	TMEM201
chr1	9648855	9648956	102	*	X00286	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9884215	9884375	161	*	X00296	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9969998	9970087	90	*	X00299	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970580	9970792	213	*	X00300	56998	9908334	9970316	61983	-	263	upstream	263	CTNNBIP1
chr1	10057136	10057270	135	*	X00302	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057645	135	*	X00303	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	10093060	10093284	225	*	X00304	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10458959	10459048	90	*	X00308	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X00311	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X00312	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10856777	10856911	135	*	X00330	54897	10696666	10856733	160068	-	43	upstream	43	CASZ1
chr1	11072269	11072388	120	*	X00339	23435	11072679	11085549	12871	+	290	upstream	290	TARDBP
chr1	11119965	11120077	113	*	X00345	6723	11114649	11120091	5443	-	0	inside	13	SRM
chr1	11120850	11120969	120	*	X00346	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00347	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X00349	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11333008	11333025	18	*	X00350	29914	11333255	11348491	15237	+	229	upstream	229	UBIAD1
chr1	11333192	11333232	41	*	X00351	29914	11333255	11348491	15237	+	22	upstream	22	UBIAD1
chr1	11538823	11538942	120	*	X00352	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11714868	11715137	270	*	X00355	26232	11708418	11714888	6471	-	0	overlapStart	0	FBXO2
chr1	11715153	11715407	255	*	X00356	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11751106	11751240	135	*	X00363	374946	11751781	11780336	28556	+	540	upstream	540	DRAXIN
chr1	11751586	11751975	390	*	X00364	374946	11751781	11780336	28556	+	0	overlapStart	0	DRAXIN
chr1	11751586	11751975	390	*	X00364	10459	11734537	11751678	17142	-	0	overlapStart	0	MAD2L2
chr1	11864961	11865080	120	*	X00366	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00367	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00367	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11994695	11994799	105	*	X00370	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00371	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12079015	12079039	25	*	X00373	60672	12079299	12092106	12808	+	259	upstream	259	MIIP
chr1	12226942	12227001	60	*	X00375	7133	12227060	12269277	42218	+	58	upstream	58	TNFRSF1B
chr1	12677827	12677886	60	*	X00381	9249	12627939	12677820	49882	-	6	upstream	6	DHRS3
chr1	12679704	12679806	103	*	X00382	9249	12627939	12677820	49882	-	1883	upstream	1883	DHRS3
chr1	13840409	13840476	68	*	X00384	126755	13801445	13840242	38798	-	166	upstream	166	LRRC38
chr1	14924670	14924774	105	*	X00394	23254	14925213	15444544	519332	+	438	upstream	438	KAZN
chr1	14924925	14924969	45	*	X00395	23254	14925213	15444544	519332	+	243	upstream	243	KAZN
chr1	15478675	15478705	31	*	X00399	55092	15479028	15546974	67947	+	322	upstream	322	TMEM51
chr1	15478675	15478705	31	*	X00399	200197	15438311	15478960	40650	-	0	inside	254	TMEM51-AS1
chr1	15480115	15480355	241	*	X00400	200197	15438311	15478960	40650	-	1154	upstream	1154	TMEM51-AS1
chr1	15573912	15574106	195	*	X00401	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15850677	15851411	735	*	X00405	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15850677	15851411	735	*	X00405	23341	15853352	15918874	65523	+	1940	upstream	1940	DNAJC16
chr1	15851554	15851719	166	*	X00406	842	15817324	15851285	33962	-	268	upstream	268	CASP9
chr1	15851554	15851719	166	*	X00406	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00407	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00407	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00408	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00408	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00409	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00410	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00411	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16010080	16010784	705	*	X00412	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16174985	16175044	60	*	X00418	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00419	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00420	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00425	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16353546	16353680	135	*	X00427	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353852	120	*	X00428	1188	16355621	16383821	28201	+	1768	upstream	1768	CLCNKB
chr1	16400313	16400402	90	*	X00432	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16563740	16563814	75	*	X00447	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16679678	16679767	90	*	X00448	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	16693696	16693815	120	*	X00449	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17445967	17446071	105	*	X00464	11240	17393256	17445948	52693	-	18	upstream	18	PADI2
chr1	17765870	17765959	90	*	X00471	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766270	56	*	X00472	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17766327	17766364	38	*	X00473	55920	17733251	17766250	33000	-	76	upstream	76	RCC2
chr1	17767158	17767277	120	*	X00474	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18433956	18434165	210	*	X00487	84966	18434240	18704977	270738	+	74	upstream	74	IGSF21
chr1	18434205	18434279	75	*	X00488	84966	18434240	18704977	270738	+	0	overlapStart	0	IGSF21
chr1	18956988	18957122	135	*	X00497	5081	18957500	19075360	117861	+	377	upstream	377	PAX7
chr1	18957213	18957332	120	*	X00498	5081	18957500	19075360	117861	+	167	upstream	167	PAX7
chr1	19283102	19283281	180	*	X00519	126917	19230774	19282826	52053	-	275	upstream	275	IFFO2
chr1	19283807	19283896	90	*	X00520	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19637204	19637287	84	*	X00521	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19637976	19638335	360	*	X00522	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X00524	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X00525	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	20812318	20812722	405	*	X00531	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X00532	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20878336	20878485	150	*	X00533	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20879086	20879205	120	*	X00534	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	21044298	21044417	120	*	X00538	57576	20990507	21044317	53811	-	0	overlapStart	0	KIF17
chr1	21113449	21113523	75	*	X00542	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21503058	21503109	52	*	X00546	8672	21132785	21503381	370597	-	0	inside	271	EIF4G3
chr1	21504151	21504200	50	*	X00547	8672	21132785	21503381	370597	-	769	upstream	769	EIF4G3
chr1	21672718	21672807	90	*	X00556	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	21835833	21835956	124	*	X00558	249	21835858	21904905	69048	+	0	overlapStart	0	ALPL
chr1	21995313	21995642	330	*	X00569	5909	21922708	21995856	73149	-	0	inside	213	RAP1GAP
chr1	22263353	22263502	150	*	X00572	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22379391	22379570	180	*	X00574	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	22470088	22470192	105	*	X00578	54361	22443798	22470385	26588	-	0	inside	192	WNT4
chr1	23036564	23036773	210	*	X00581	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036983	150	*	X00582	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23345295	23345444	150	*	X00585	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X00592	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X00593	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X00594	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671880	1	*	X00595	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X00596	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23751209	23751313	105	*	X00600	6920	23707555	23751261	43707	-	0	overlapStart	0	TCEA3
chr1	23810660	23811289	630	*	X00603	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857839	105	*	X00606	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	24104766	24104840	75	*	X00613	57095	24104876	24114722	9847	+	35	upstream	35	PITHD1
chr1	24104766	24104840	75	*	X00613	100506963	24086872	24104787	17916	-	0	overlapStart	0	ELOA-AS1
chr1	24105187	24105321	135	*	X00614	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24105831	24105950	120	*	X00615	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24117796	24118065	270	*	X00616	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127340	345	*	X00622	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24165067	24165201	135	*	X00624	3155	24128367	24165110	36744	-	0	overlapStart	0	HMGCL
chr1	24285739	24285948	210	*	X00626	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24513630	24513809	180	*	X00630	163702	24480647	24513765	33119	-	0	overlapStart	0	IFNLR1
chr1	24645699	24645775	77	*	X00632	57822	24645812	24690970	45159	+	36	upstream	36	GRHL3
chr1	24828721	24828840	120	*	X00634	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X00634	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24829208	24829297	90	*	X00635	100750325	24822823	24828850	6028	-	357	upstream	357	RCAN3AS
chr1	24829636	24829710	75	*	X00636	100750325	24822823	24828850	6028	-	785	upstream	785	RCAN3AS
chr1	24968541	24968630	90	*	X00639	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25071485	25071604	120	*	X00646	25932	25071760	25170815	99056	+	155	upstream	155	CLIC4
chr1	25559610	25559714	105	*	X00656	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X00660	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	25757332	25757459	128	*	X00662	55219	25757388	25826698	69311	+	0	overlapStart	0	MACO1
chr1	25757332	25757459	128	*	X00662	6006	25688740	25756683	67944	-	648	upstream	648	RHCE
chr1	25758083	25758202	120	*	X00663	6006	25688740	25756683	67944	-	1399	upstream	1399	RHCE
chr1	25869995	25870129	135	*	X00665	26119	25870076	25895377	25302	+	0	overlapStart	0	LDLRAP1
chr1	25943312	25943402	91	*	X00668	57134	25943959	26111258	167300	+	556	upstream	556	MAN1C1
chr1	26126511	26126627	117	*	X00670	57190	26126667	26144713	18047	+	39	upstream	39	SELENON
chr1	26144984	26145088	105	*	X00672	56181	26146397	26159433	13037	+	1308	upstream	1308	MTFR1L
chr1	26185429	26185623	195	*	X00675	79000	26160497	26185848	25352	-	0	inside	224	AUNIP
chr1	26185924	26186013	90	*	X00676	79000	26160497	26185848	25352	-	75	upstream	75	AUNIP
chr1	26233226	26233345	120	*	X00679	100500808	26232853	26232945	93	-	280	upstream	280	MIR3917
chr1	26233226	26233345	120	*	X00679	3925	26210677	26233368	22692	-	0	inside	22	STMN1
chr1	26324244	26324408	165	*	X00680	5051	26286258	26324648	38391	-	0	inside	239	PAFAH2
chr1	26485506	26485556	51	*	X00683	79927	26485511	26489119	3609	+	0	overlapStart	0	FAM110D
chr1	26560560	26560799	240	*	X00685	64793	26560693	26605299	44607	+	0	overlapStart	0	CEP85
chr1	26798217	26798336	120	*	X00693	3151	26798902	26803133	4232	+	565	upstream	565	HMGN2
chr1	26798677	26798871	195	*	X00694	3151	26798902	26803133	4232	+	30	upstream	30	HMGN2
chr1	26855938	26856146	209	*	X00698	6195	26856249	26901520	45272	+	102	upstream	102	RPS6KA1
chr1	26856188	26856252	65	*	X00699	6195	26856249	26901520	45272	+	0	overlapStart	0	RPS6KA1
chr1	27153007	27153201	195	*	X00703	84243	27153201	27182211	29011	+	0	overlapStart	0	ZDHHC18
chr1	27153333	27153467	135	*	X00704	84243	27153201	27182211	29011	+	0	inside	131	ZDHHC18
chr1	27217301	27217405	105	*	X00709	54707	27205873	27216869	10997	-	431	upstream	431	GPN2
chr1	27320079	27320138	60	*	X00711	388610	27320195	27327377	7183	+	56	upstream	56	TRNP1
chr1	27320169	27320423	255	*	X00712	388610	27320195	27327377	7183	+	0	overlapStart	0	TRNP1
chr1	27481247	27481561	315	*	X00716	6548	27425300	27481621	56322	-	0	inside	59	SLC9A1
chr1	27560695	27560874	180	*	X00717	23038	27561007	27635124	74118	+	132	upstream	132	WDTC1
chr1	27560980	27561054	75	*	X00718	23038	27561007	27635124	74118	+	0	overlapStart	0	WDTC1
chr1	27561235	27561369	135	*	X00719	23038	27561007	27635124	74118	+	0	inside	227	WDTC1
chr1	27648557	27648691	135	*	X00721	84065	27648636	27662891	14256	+	0	overlapStart	0	TMEM222
chr1	27648557	27648691	135	*	X00721	644961	27650365	27653016	2652	+	1673	upstream	1673	ACTG1P20
chr1	27718485	27718694	210	*	X00725	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	27816581	27816730	150	*	X00728	10163	27730734	27816678	85945	-	0	overlapStart	0	WASF2
chr1	27930043	27930312	270	*	X00755	27245	27860756	27930361	69606	-	0	inside	48	AHDC1
chr1	27930373	27930492	120	*	X00756	27245	27860756	27930361	69606	-	11	upstream	11	AHDC1
chr1	27930732	27930851	120	*	X00757	27245	27860756	27930361	69606	-	370	upstream	370	AHDC1
chr1	27930927	27931256	330	*	X00758	27245	27860756	27930361	69606	-	565	upstream	565	AHDC1
chr1	28199007	28199091	85	*	X00764	9473	28199055	28213193	14139	+	0	overlapStart	0	THEMIS2
chr1	28285956	28286069	114	*	X00766	55113	28286504	28294604	8101	+	434	upstream	434	XKR8
chr1	28414851	28414970	120	*	X00767	2140	28296855	28415148	118294	-	0	inside	177	EYA3
chr1	28559181	28559315	135	*	X00768	22826	28526790	28559542	32753	-	0	inside	226	DNAJC8
chr1	28585343	28585462	120	*	X00770	83667	28585963	28609002	23040	+	500	upstream	500	SESN2
chr1	28585891	28586010	120	*	X00771	83667	28585963	28609002	23040	+	0	overlapStart	0	SESN2
chr1	28879506	28879625	120	*	X00774	54952	28879529	28905057	25529	+	0	overlapStart	0	TRNAU1AP
chr1	28907948	28908082	135	*	X00776	677838	28906276	28906405	130	-	1542	upstream	1542	SNORA61
chr1	28907948	28908082	135	*	X00776	677825	28906893	28907024	132	-	923	upstream	923	SNORA44
chr1	28907948	28908082	135	*	X00776	692073	28907432	28907565	134	-	382	upstream	382	SNORA16A
chr1	28995337	28995360	24	*	X00777	10691	28995240	29042115	46876	+	0	inside	96	GMEB1
chr1	29062988	29063107	120	*	X00779	51441	29063133	29096287	33155	+	25	upstream	25	YTHDF2
chr1	29211873	29211878	6	*	X00782	2035	29213603	29446558	232956	+	1724	upstream	1724	EPB41
